track_id:0
55.38,984.50,957.50,193.08,0.27
55.38,985.50,902.50,197.59,0.48
55.12,985.00,835.00,193.86,0.00
56.12,985.75,923.50,195.06,0.17
55.88,985.50,907.00,193.56,0.45
56.12,985.12,847.00,200.57,0.59
56.38,985.88,789.50,197.40,0.52
55.88,985.75,807.00,193.45,0.40
55.88,985.75,828.50,195.52,0.35
56.00,985.12,844.50,196.53,0.53
55.75,985.38,876.00,196.10,0.24
55.25,985.00,908.00,195.53,0.41
55.38,985.38,823.00,198.72,0.00
55.25,985.50,820.00,198.13,0.41
55.38,986.12,924.50,194.83,0.53
55.62,985.75,1025.00,195.97,0.71
55.12,986.00,965.00,191.75,0.68
54.75,986.38,1003.00,189.57,0.57
54.62,985.88,1105.50,194.92,0.58
54.62,985.88,806.00,190.22,0.41
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
track_id:4
37.62,984.00,1145.00,199.91,0.57
37.50,984.25,1107.50,196.82,0.37
37.12,984.38,997.50,198.10,0.27
38.00,984.25,1045.50,194.83,0.27
38.25,983.62,925.00,195.30,0.25
37.50,984.50,959.50,197.18,0.00
37.50,984.50,1002.00,193.70,0.50
37.88,984.00,962.00,193.54,0.47
37.88,984.00,984.50,195.81,0.42
38.00,984.25,879.00,197.95,0.24
38.50,984.25,927.00,194.31,0.39
39.12,984.12,903.50,196.33,0.20
39.00,984.38,852.00,196.34,0.23
39.62,983.62,915.00,197.29,0.00
39.38,984.25,898.00,198.49,0.28
39.38,984.12,906.00,197.60,0.28
39.25,983.88,885.50,196.55,0.34
39.25,983.50,816.00,197.31,0.52
38.62,983.50,929.00,192.85,0.72
38.62,983.75,883.50,198.41,0.24
38.38,984.12,857.50,196.13,0.21
38.75,983.88,897.00,193.33,0.66
38.50,984.12,835.00,199.32,0.63
39.12,984.12,781.50,189.81,0.36
38.62,984.38,965.00,196.75,0.28
38.50,984.62,889.00,197.35,0.61
38.12,984.12,832.50,196.06,0.62
37.50,984.38,834.50,194.58,0.65
39.00,984.00,802.00,193.02,0.55
38.88,983.50,807.50,193.46,0.51
track_id:5
1056.75,982.50,1190.50,174.95,0.77
1056.50,983.12,1210.50,181.34,0.73
1056.88,982.62,959.00,183.66,0.61
1057.00,982.50,953.50,181.87,0.70
1056.88,982.12,980.50,184.30,0.60
1056.75,982.38,988.50,180.32,0.53
1057.00,982.75,885.00,184.31,0.57
1057.25,982.50,882.50,186.44,0.59
1056.62,982.38,819.00,189.94,0.48
1057.25,982.62,741.00,186.84,0.57
1057.25,981.88,733.50,186.89,0.53
1057.62,982.50,765.50,185.80,0.36
1057.50,982.62,809.00,190.22,0.63
1057.75,981.88,820.50,185.86,0.68
1058.62,982.50,794.50,186.14,0.63
1058.00,982.38,915.00,184.49,0.79
1057.62,982.38,941.50,180.78,0.84
1057.00,981.88,912.50,181.06,0.81
1057.50,982.00,884.50,184.84,0.80
1057.25,981.62,719.00,187.71,0.35
1058.12,982.12,835.00,182.00,0.60
1058.25,982.00,800.50,186.90,0.78
1057.38,981.62,997.00,178.29,0.84
1057.88,981.88,1035.00,186.06,0.86
1057.50,981.75,969.00,186.82,0.75
1056.62,982.12,1051.00,176.70,0.82
1056.62,981.62,1143.00,181.75,0.83
1056.88,981.88,1107.50,174.60,0.86
1057.62,981.38,1051.00,174.30,0.82
1056.88,981.88,1096.50,177.20,0.69
track_id:6
677.12,981.75,946.50,192.16,0.54
678.50,982.62,947.50,192.46,0.00
679.00,982.25,932.50,192.95,0.50
679.75,982.00,812.50,191.20,0.24
679.75,981.75,684.50,187.59,0.35
678.38,981.00,497.50,188.76,0.52
679.25,981.12,679.00,194.00,0.56
678.00,981.12,570.00,188.04,0.51
678.38,981.00,690.00,186.52,0.43
678.38,981.75,831.00,193.39,0.41
678.62,981.50,964.00,189.30,0.81
679.00,982.25,865.50,187.60,0.77
678.88,981.88,871.50,186.98,0.71
679.25,981.25,879.00,189.27,0.73
679.00,981.75,807.00,186.26,0.48
678.88,982.00,854.50,180.93,0.80
679.38,981.38,799.50,182.63,0.76
680.38,980.88,666.00,186.06,0.73
679.62,980.50,712.50,187.14,0.76
679.12,980.88,747.50,185.84,0.78
679.00,980.00,712.00,182.17,0.58
679.25,979.88,839.00,185.67,0.65
678.50,979.50,744.00,183.16,0.65
679.38,979.62,753.50,182.40,0.47
679.50,979.88,671.50,183.13,0.59
679.12,981.00,658.00,187.33,0.46
678.50,980.75,1227.50,183.74,0.73
679.62,979.88,741.00,182.69,0.59
679.62,979.38,753.00,191.99,0.76
679.38,979.38,990.50,182.16,0.65
track_id:7
130.75,981.62,1103.00,187.19,0.56
131.25,981.38,1063.50,190.02,0.72
131.62,981.25,1006.50,188.08,0.52
132.00,981.50,919.50,193.87,0.34
132.12,981.25,889.50,196.32,0.41
131.50,981.38,884.00,193.49,0.41
131.75,981.62,944.50,190.15,0.54
131.88,981.50,993.50,188.06,0.70
131.88,981.38,982.50,190.87,0.55
131.88,981.75,939.50,189.84,0.44
132.62,981.00,945.50,190.19,0.51
133.12,981.62,919.50,191.09,0.43
132.88,981.62,923.00,193.90,0.53
132.88,982.00,941.50,190.71,0.56
133.12,982.00,935.00,192.10,0.53
132.88,981.88,859.50,191.04,0.21
132.62,981.75,898.00,193.15,0.29
132.50,981.50,890.00,194.44,0.58
132.38,980.75,808.00,192.97,0.55
132.12,981.38,818.50,189.20,0.34
132.25,981.75,779.00,194.92,0.48
131.75,981.38,733.00,192.78,0.25
132.12,981.12,818.00,199.38,0.45
132.38,981.12,838.00,195.36,0.46
132.12,981.25,810.00,193.61,0.40
132.25,981.25,868.00,194.85,0.55
132.00,981.50,836.50,198.00,0.35
132.12,981.25,903.50,196.34,0.34
132.25,981.12,864.00,191.75,0.61
132.00,981.00,874.00,193.55,0.41
track_id:8
52.00,977.50,951.50,193.95,0.00
52.25,978.12,861.50,196.57,0.56
52.25,978.50,805.50,197.44,0.25
53.75,978.50,751.00,193.40,0.35
53.12,978.25,757.00,196.36,0.35
52.12,978.12,824.50,197.51,0.24
52.38,977.88,750.00,198.63,0.00
52.62,978.00,795.50,192.58,0.44
52.88,977.62,736.50,194.79,0.42
53.00,978.25,769.00,190.23,0.61
53.25,978.00,714.50,195.35,0.25
53.75,978.38,724.00,190.30,0.35
53.88,978.25,685.50,191.58,0.37
54.12,977.88,708.50,195.00,0.35
54.38,978.62,743.00,198.89,0.42
53.75,978.62,754.00,195.88,0.41
53.62,978.50,745.50,194.99,0.42
53.62,978.00,722.50,190.98,0.25
53.25,978.12,549.00,182.64,0.38
52.50,978.00,549.50,177.72,0.38
53.00,977.88,531.00,179.01,0.46
52.25,977.75,595.00,174.19,0.51
52.50,978.12,654.50,156.44,0.81
53.12,977.75,621.50,183.07,0.50
52.38,978.25,708.50,185.38,0.26
52.12,978.25,747.00,191.61,0.36
51.12,978.12,780.50,192.68,0.48
52.12,978.25,708.50,184.75,0.43
52.12,977.75,670.50,188.95,0.49
52.12,978.25,759.00,187.59,0.42
track_id:9
167.12,976.50,916.50,192.89,0.70
167.25,976.62,821.00,196.64,0.47
167.62,976.62,824.50,195.93,0.59
167.88,976.62,742.50,195.95,0.64
168.00,976.50,794.00,195.38,0.52
167.12,977.00,800.50,193.76,0.36
167.38,976.88,858.00,192.59,0.67
167.38,977.12,803.00,193.56,0.57
167.25,976.62,820.00,195.28,0.59
167.62,977.12,793.00,192.26,0.68
168.00,976.50,828.50,193.85,0.62
168.50,977.12,814.50,194.56,0.62
168.50,976.75,853.00,192.73,0.65
168.62,976.62,914.50,192.02,0.68
168.75,977.00,776.00,194.47,0.60
